iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
243,0.256007,5.39993,5.65594,18,0,18,5859,12.2431,1.23E-07,12.2431,4917.09,161
244,0.256691,4.54812,4.80481,29,16,45,5899,9.94146,6.86371,16.8052,4939.71,161
245,0.255072,4.86168,5.11675,15,0,15,5914,12.3561,4.80E-08,12.3562,4958.18,162
246,0.257387,5.01748,5.27486,17,0,17,5929,12.1777,1.48E-07,12.1778,4976.64,163
247,0.256762,7.92601,8.18277,21,0,21,5944,10.7519,1.25E-07,10.7519,4996.58,164
248,0.256183,9.5362,9.79238,15,0,15,5955,11.8367,1.26E-07,11.8367,5019.21,165
249,0.258156,4.07344,4.3316,24,0,24,5974,10.103,1.13E-07,10.103,5034.65,166
250,0.255897,5.12937,5.38527,14,0,14,5988,11.6453,1.02E-07,11.6453,5052.69,167
251,0.258716,6.60127,6.85999,11,0,11,5997,12.6185,1.53E-07,12.6185,5073.17,168
252,0.261894,7.00998,7.27188,33,21,54,6043,9.4411,7.92465,17.3658,5098.81,168
253,0.257392,3.79018,4.04757,37,6,43,6076,8.97509,8.66358,17.6387,5121.5,168
254,0.259891,5.27253,5.53242,30,11,41,6108,10.779,7.77937,18.5584,5146.6,168
255,0.258738,5.9664,6.22514,18,0,18,6122,12.0453,1.42E-07,12.0453,5165.87,169
256,0.25493,3.90762,4.16255,17,0,17,6136,12.0471,1.07E-07,12.0471,5183.09,170
257,0.256894,5.72263,5.97953,14,0,14,6146,12.0642,1.08E-07,12.0642,5202.14,171
258,0.25884,6.1098,6.36864,11,0,11,6157,12.3892,1.42E-07,12.3892,5221.9,172
259,0.258137,8.66052,8.91865,38,35,73,6218,9.5369,7.49804,17.035,5248.86,172
260,0.258574,5.51817,5.77674,15,0,15,6229,11.8753,8.60E-08,11.8753,5267.51,173
261,0.260295,3.83067,4.09096,13,0,13,6241,11.8332,1.40E-07,11.8333,5284.44,174
262,0.259383,6.99739,7.25677,14,0,14,6250,11.8677,1.00E-07,11.8677,5304.57,175
263,0.261168,6.75008,7.01124,14,0,14,6262,11.228,1.37E-07,11.228,5323.82,176
264,0.261634,5.25486,5.51649,33,14,47,6301,9.44619,7.04981,16.496,5346.83,176
265,0.262111,7.14852,7.41063,17,0,17,6314,11.1503,8.40E-08,11.1503,5366.4,177
266,0.261794,5.04126,5.30305,11,0,11,6324,11.9564,1.20E-07,11.9564,5384.66,178
267,0.263225,5.49905,5.76227,35,14,49,6364,8.95095,7.23022,16.1812,5407.61,178
268,0.262906,4.50007,4.76298,38,9,47,6402,9.14638,6.97713,16.1235,5429.5,178
269,0.260274,4.18267,4.44294,21,0,21,6420,10.3567,1.03E-07,10.3568,5445.31,179
